Company,TypeName,Inches,Ram,OpSys,Weight,Price,Screen Panel Type,Additional Screen Features,Screen Resolution,CPU Brand,CPU Series,CPU Model Number,CPU Clock Speed,Gpu Brand,Gpu Series,Gpu Type,Main Storage Size,Main Storage Type,Additional Storage Size
Lenovo,2 in 1 Convertible,15.6,8,Windows 10,2,90522,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050M,GeForce,512,SSD,0
Dell,Notebook,17.3,8,Windows 10,2.8,60845,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 530,Radeon,128,SSD,0
Lenovo,Notebook,15.6,4,No OS,2.2,23656,Standard,Full HD,1920x1080,Intel,Core,i3,2.3,Intel,HD Graphics 520,HD Graphics,256,SSD,0
HP,Notebook,15.6,4,Windows 10,2.1,38468,IPS Panel,Full HD,1920x1080,Intel,Core,i5,1.6,Intel,HD Graphics 620,HD Graphics,500,HDD,0
Apple,Ultrabook,13.3,8,macOS,1.37,104370,IPS Panel,Retina Display,2560x1600,Intel,Core,i5,2.9,Intel,Iris Graphics 550,Iris,512,SSD,0
Asus,Gaming,17.3,16,Windows 10,3.2,82530,Standard,Full HD,1920x1080,AMD,Ryzen,1700,2.3,AMD,Radeon RX 580,Radeon,256,SSD,0
Dell,Notebook,15.6,8,Linux,2.14,39164,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 520,Radeon,256,SSD,0
Lenovo,2 in 1 Convertible,14,16,Windows 10,1.36,133146,Touchscreen,Standard,2560x1440,Intel,Core,i7,2.6,Intel,HD Graphics 520,HD Graphics,512,SSD,0
Toshiba,Notebook,15.6,8,Windows 10,2.2,43263,Standard,Standard,1366x768,Intel,Core,i7,2.5,Nvidia,GeForce 930M,GeForce,500,HDD,0
Dell,Notebook,17.3,8,Linux,2.8,58554,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 530,Radeon,128,SSD,0
Lenovo,Notebook,17.3,6,Windows 10,2.8,45767,Standard,Standard,1600x900,Intel,Core,i7,2.7,Nvidia,GeForce 940MX,GeForce,128,SSD,0
Lenovo,Gaming,15.6,8,Windows 10,2.5,44169,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce GTX 1050,GeForce,256,SSD,0
Lenovo,Notebook,15.6,6,Windows 10,2.2,30849,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Acer,Notebook,15.6,8,Windows 10,3,50669,IPS Panel,Full HD,1920x1080,Intel,Core,i7,1.8,Nvidia,GeForce MX150,GeForce,256,SSD,0
Lenovo,Notebook,15.6,8,Windows 10,1.95,58448,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.7,Intel,HD Graphics 630,HD Graphics,256,SSD,0
Asus,Ultrabook,15.6,8,Windows 10,1.7,52054,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce 940MX,GeForce,256,SSD,0
Lenovo,Gaming,15.6,16,Windows 10,2.5,62817,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050 Ti,GeForce,256,SSD,0
Dell,Notebook,15.6,8,Windows 10,2,97449,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050,GeForce,256,SSD,0
Acer,Notebook,15.6,8,Linux,2.5,52161,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050 Ti,GeForce,256,SSD,0
Dell,Workstation,17.3,16,Windows 10,3.42,153705,Standard,Full HD,1920x1080,Intel,Core,i7,2.9,Nvidia,Quadro M1200,Quadro,256,SSD,0
Asus,Ultrabook,15.6,16,Windows 10,1.63,78215,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,Nvidia,GeForce 940MX,GeForce,512,SSD,0
Asus,Notebook,14,4,Windows 10,1.3,27119,Standard,Standard,1366x768,Intel,Core,i3,2.4,Intel,HD Graphics 620,HD Graphics,128,SSD,0
Asus,Gaming,17.3,16,Windows 10,2.9,113060,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1070,GeForce,256,SSD,0
Asus,Gaming,15.6,8,Windows 10,2.5,67399,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050 Ti,GeForce,128,SSD,0
HP,2 in 1 Convertible,13.3,16,Windows 10,1.28,105228,Touchscreen,Full HD,1920x1080,Intel,Core,i7,2.8,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Toshiba,Notebook,15.6,8,Windows 10,2.2,55571,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.5,Nvidia,GeForce 930M,GeForce,256,SSD,0
Lenovo,Notebook,15.6,8,Windows 10,2.3,43636,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce 940MX,GeForce,128,SSD,0
Lenovo,Notebook,13.3,8,Windows 10,1.1,53226,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
MSI,Gaming,15.6,16,Windows 10,2.8,111834,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1070,GeForce,256,SSD,0
Acer,Notebook,15.6,8,Windows 10,2.23,24988,Standard,Full HD,1920x1080,AMD,A8-Series,A8,2.2,AMD,Radeon R5,Radeon,256,SSD,0
Asus,2 in 1 Convertible,11.6,2,Windows 10,1.1,14652,Touchscreen,Standard,1366x768,Intel,Celeron,N3350,1.1,Intel,HD Graphics 500,HD Graphics,32,Flash Storage,0
Dell,Notebook,15.6,8,Windows 10,2.33,44968,Standard,Full HD,1920x1080,Intel,Core,i5,1.6,AMD,Radeon 530,Radeon,128,SSD,0
HP,Notebook,14,8,Windows 10,1.95,52214,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Acer,Notebook,11.6,4,Windows 10,1.4,25840,Standard,Standard,1366x768,Intel,Pentium,N3710,1.6,Intel,HD Graphics 405,HD Graphics,128,Flash Storage,0
HP,Notebook,14,8,Windows 10,1.48,68837,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Asus,Notebook,14,8,Windows 10,2,58288,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Acer,Notebook,15.6,8,Windows 10,2.2,35111,Standard,Standard,1366x768,AMD,A12-Series,A12,2.7,AMD,Radeon RX 540,Radeon,256,SSD,0
Lenovo,Notebook,14,4,Windows 10,1.44,15557,Standard,Standard,1366x768,Intel,Celeron,N3350,1.1,Intel,HD Graphics 500,HD Graphics,32,Flash Storage,0
Asus,Ultrabook,15.6,8,Windows 10,1.7,55938,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,Nvidia,GeForce 940MX,GeForce,256,SSD,0
HP,Ultrabook,12.5,8,Windows 10,1.26,71128,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,256,SSD,0
MSI,Gaming,17.3,8,Windows 10,2.7,63882,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050 Ti,GeForce,256,SSD,0
Toshiba,Notebook,15.6,8,Windows 10,2.0,50243,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Asus,Notebook,14,8,Windows 10,2,71075,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Asus,Gaming,15.6,8,Windows 10,2.5,53226,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050,GeForce,256,SSD,0
HP,Notebook,14,8,Windows 10,1.48,67559,Standard,Full HD,1920x1080,Intel,Core,i5,2.6,Intel,HD Graphics 620,HD Graphics,256,SSD,0
HP,Notebook,15.6,8,Windows 10,1.84,60952,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Dell,Notebook,15.6,8,Windows 10,2,60885,Standard,Full HD,1920x1080,Intel,Core,i5,1.6,Nvidia,GeForce 940MX,GeForce,256,SSD,0
Dell,Notebook,15.6,4,Linux,2.2,14646,Standard,Standard,1366x768,Intel,Celeron,N3060,1.6,Intel,HD Graphics,HD Graphics,500,HDD,0
Lenovo,Gaming,15.6,16,Windows 10,2.4,60153,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050 Ti,GeForce,256,SSD,0
HP,Notebook,14,2,Windows 10,1.44,14865,Standard,Standard,1366x768,Intel,Celeron,N3060,1.6,Intel,HD Graphics 400,HD Graphics,32,Flash Storage,0
Asus,2 in 1 Convertible,11.6,4,Windows 10,1.5,19980,Touchscreen,Standard,1366x768,Intel,Celeron,N3350,1.1,Intel,HD Graphics 500,HD Graphics,32,Flash Storage,0
HP,Notebook,15.6,8,Windows 10,1.84,69477,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,256,SSD,0
MSI,Gaming,17.3,8,Windows 10,2.7,75071,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1060,GeForce,128,SSD,0
HP,Workstation,15.6,8,Windows 10,2.6,92615,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,Quadro M1200,Quadro,256,SSD,0
Toshiba,Notebook,15.6,16,Windows 10,2.4,74751,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.5,Nvidia,GeForce 930M,GeForce,512,SSD,0
Dell,Notebook,15.6,8,Windows 10,2.02,51729,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 530,Radeon,128,SSD,0
Dell,Notebook,14,8,Windows 10,1.36,76030,Standard,Full HD,1920x1080,Intel,Core,i5,2.6,Intel,HD Graphics 620,HD Graphics,256,SSD,0
HP,Notebook,15.6,4,Windows 10,1.86,23389,Standard,Standard,1366x768,Intel,Core,i3,2.3,Intel,HD Graphics 520,HD Graphics,500,HDD,0
Asus,Notebook,14,8,Windows 10,2,50349,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Lenovo,Notebook,17.3,6,Windows 10,2.8,38308,Standard,Standard,1600x900,Intel,Core,i5,2.5,Nvidia,GeForce GTX 940MX,GeForce,128,SSD,0
Lenovo,Notebook,15.6,8,No OS,2.2,26586,Standard,Standard,1366x768,Intel,Core,i3,2.3,Nvidia,GeForce 920MX,GeForce,256,SSD,0
Dell,Notebook,17.3,8,Windows 10,2.8,57808,Standard,Full HD,1920x1080,Intel,Core,i5,1.6,AMD,Radeon 530,Radeon,128,SSD,0
Lenovo,Gaming,15.6,8,No OS,2.4,43103,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce GTX 1050,GeForce,128,SSD,0
Dell,Notebook,15.6,8,Windows 10,2.33,47898,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,AMD,Radeon R7 M445,Radeon,256,SSD,0
HP,Ultrabook,14,8,Windows 10,1.36,93240,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Asus,2 in 1 Convertible,15.6,12,Windows 10,2.26,58554,Touchscreen,Full HD,1920x1080,Intel,Core,i7,2.7,Nvidia,GeForce GT 940MX,GeForce,512,SSD,0
Acer,Notebook,15.6,4,Windows 10,2.1,22697,Standard,Standard,1366x768,AMD,A9-Series,A9,2.3,AMD,Radeon R5,Radeon,128,SSD,0
Asus,Gaming,17.3,16,Windows 10,3.25,117162,IPS Panel,Full HD,1920x1080,AMD,Ryzen,1700,2.3,AMD,Radeon RX 580,Radeon,256,SSD,0
Lenovo,Notebook,17.3,4,Windows 10,2.6,26053,Standard,Standard,1600x900,AMD,A8-Series,A8,2.2,AMD,Radeon R5,Radeon,128,SSD,0
HP,Notebook,15.6,4,Windows 10,1.91,26053,Standard,Full HD,1920x1080,AMD,A9-Series,A9,2.3,AMD,Radeon R5,Radeon,256,SSD,0
Lenovo,Netbook,11.6,4,Windows 10,1.59,29463,IPS Panel,Standard,1366x768,Intel,Celeron,N3450,1.1,Intel,HD Graphics 500,HD Graphics,128,SSD,0
Dell,Notebook,15.6,4,Windows 10,1.8,16463,Standard,Standard,1366x768,Intel,Celeron,N3060,1.6,Intel,HD Graphics 400,HD Graphics,500,HDD,0
Asus,Notebook,14,4,Windows 10,1.5,15238,Standard,Standard,1366x768,Intel,Celeron,N3350,1.1,Intel,HD Graphics 500,HD Graphics,32,Flash Storage,0
HP,Gaming,17.3,8,Windows 10,3.35,63456,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050,GeForce,128,SSD,0
Lenovo,Notebook,15.6,4,No OS,1.85,21498,Standard,Full HD,1920x1080,Intel,Core,i3,2.3,Intel,HD Graphics 520,HD Graphics,128,SSD,0
Asus,Gaming,15.6,8,Windows 10,2.3,88178,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1060,GeForce,128,SSD,0
Lenovo,Notebook,14,8,Windows 10,1.5,58554,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce 940MX,GeForce,256,SSD,0
Asus,Ultrabook,13.3,16,Windows 10,1.1,93181,Touchscreen,Full HD,1920x1080,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,512,SSD,0
Lenovo,Ultrabook,14,8,Windows 10,1.13,121584,IPS Panel,Standard,2560x1440,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,512,SSD,0
Lenovo,Notebook,13.3,4,Windows 10,1.5,29250,IPS Panel,Full HD,1920x1080,Intel,Core,i3,2.4,Intel,HD Graphics 620,HD Graphics,128,SSD,0
Dell,Workstation,15.6,8,Windows 10,2.23,72940,Standard,Full HD,1920x1080,Intel,Core,i5,2.6,AMD,FirePro W5130M,FirePro,500,HDD,0
Dell,Workstation,15.6,8,Windows 10,2,113752,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.7,Nvidia,Quadro M1200,Quadro,256,SSD,0
Lenovo,2 in 1 Convertible,14,16,Windows 10,1.42,133679,Touchscreen,Standard,2560x1440,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,512,SSD,0
Asus,Gaming,17.3,16,Windows 10,3,84768,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050 Ti,GeForce,256,SSD,0
MSI,Gaming,17.3,8,Windows 10,2.7,71874,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050 Ti,GeForce,256,SSD,0
Dell,Notebook,15.6,8,Linux,2.33,41498,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,AMD,Radeon R7 M445,Radeon,256,SSD,0
HP,Ultrabook,15.6,4,Windows 10,1.91,26586,Standard,Full HD,1920x1080,AMD,A9-Series,A9,2.3,AMD,Radeon 520,Radeon,256,SSD,0
Lenovo,Notebook,15.6,8,Windows 10,2.1,65510,IPS Panel,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon RX 550,Radeon,256,SSD,0
Lenovo,Notebook,14,8,Windows 10,1.9,49976,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Dell,Workstation,15.6,8,Windows 10,1.78,144495,Touchscreen,4K Ultra HD,3840x2160,Intel,Core,i7,2.8,Nvidia,Quadro M1200,Quadro,256,SSD,0
Asus,Gaming,17.3,16,Windows 10,2.9,81465,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050,GeForce,256,SSD,0
Lenovo,Notebook,25.6,8,Windows 10,2.1,60978,IPS Panel,Full HD,1920x1080,Intel,Core,i5,1.6,AMD,Radeon RX 550,Radeon,256,SSD,0
Acer,Notebook,15.6,8,Linux,2.5,46833,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050,GeForce,256,SSD,0
MSI,Gaming,17.3,16,Windows 10,2.8,119826,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1070,GeForce,256,SSD,0
Asus,Ultrabook,14,8,Windows 10,1.10,99793,Standard,Full HD,1920x1080,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,512,SSD,0
Toshiba,Ultrabook,13.3,16,Windows 10,1.2,93080,Standard,Full HD,1920x1080,Intel,Core,i7,2.5,Intel,HD Graphics 520,HD Graphics,512,SSD,0
Dell,Ultrabook,14,8,Windows 10,1.36,89510,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Intel,HD Graphics,HD Graphics,512,SSD,0
Lenovo,Notebook,35.6,4,Windows 10,2.2,21791,Standard,Full HD,1920x1080,Intel,Core,i3,2.3,Intel,HD Graphics 520,HD Graphics,500,HDD,0
Lenovo,Notebook,11.6,2,Windows 10,1.15,16221,Standard,Standard,1366x768,Intel,Celeron,N3350,1.1,Intel,HD Graphics 500,HD Graphics,32,Flash Storage,0
Lenovo,Workstation,15.6,8,Windows 10,2.67,102564,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,Quadro M1200,Quadro,512,SSD,0
Lenovo,Ultrabook,14,8,Windows 10,1.7,103523,IPS Panel,Full HD,2560x1440,Intel,Core,i7,2.8,Nvidia,GeForce GT 940MX,GeForce,512,SSD,0
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,42038,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.5,Intel,HD Graphics 520,HD Graphics,256,SSD,0
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.27,49443,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Dell,Notebook,15.6,4,Linux,2.3,31909,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,AMD,Radeon R5 M430,Radeon,256,SSD,0
Dell,Notebook,13.3,4,Windows 10,1.65,36709,Standard,Standard,1366x768,Intel,Core,i3,2.3,Intel,HD Graphics 520,HD Graphics,128,SSD,0
HP,Ultrabook,14,8,Windows 10,1.43,79920,Standard,Full HD,1920x1080,Intel,Core,i7,2.5,Intel,HD Graphics 520,HD Graphics,256,SSD,0
Lenovo,Ultrabook,14,8,Windows 10,1.75,64755,IPS Panel,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon RX 550,Radeon,256,SSD,0
Lenovo,2 in 1 Convertible,15.6,16,Windows 10,2,101178,IPS Panel,4K Ultra HD,3840x2160,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050,GeForce,512,SSD,0
Chuwi,Notebook,12.3,6,Windows 10,1.4,23922,IPS Panel,Retina Display,2736x1824,Intel,Celeron,N3450,1.1,Intel,HD Graphics 500,HD Graphics,64,Flash Storage,0
HP,Notebook,15.6,8,Windows 10,2.31,76030,Standard,Full HD,1920x1080,Intel,Core,i7,2.9,Intel,HD Graphics 630,HD Graphics,256,SSD,0
Dell,Gaming,27.3,16,Windows 10,4.42,149130,IPS Panel,Standard,2560x1440,Intel,Core,i7,2.9,Nvidia,GeForce GTX 1070,GeForce,256,SSD,0
Dell,Gaming,15.6,8,Windows 10,2.62,61751,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050 Ti,GeForce,128,SSD,0
Dell,Notebook,15.6,8,Windows 10,2.02,60867,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 530,Radeon,256,SSD,0
Dell,Ultrabook,14,8,Linux,1.6,58554,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Intel,HD Graphics 620,HD Graphics,256,SSD,0
HP,Gaming,17.3,12,Windows 10,3.35,106506,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1070,GeForce,256,SSD,0
Mediacom,2 in 1 Convertible,11.6,4,Windows 10,1.16,15930,IPS Panel,Full HD,1920x1080,Intel,Celeron,N3350,1.1,Intel,HD Graphics 500,HD Graphics,32,SSD,0
Samsung,Netbook,11.6,4,Chrome OS,1.15,14332,Standard,Standard,1366x768,Intel,Celeron,N3060,1.6,Intel,HD Graphics 400,HD Graphics,16,Flash Storage,0
Lenovo,Notebook,13.3,8,Windows 10,1.4,53812,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Lenovo,Notebook,14,4,Windows 10,1.7,31914,IPS Panel,Full HD,1920x1080,Intel,Core,i3,2.7,Intel,HD Graphics 620,HD Graphics,128,SSD,0
Lenovo,Workstation,15.6,16,Windows 10,2.3,130269,IPS Panel,4K Ultra HD,3840x2160,Intel,Core,i7,2.8,Nvidia,GeForce 940MX,GeForce,512,SSD,0
Lenovo,Notebook,15.6,16,Windows 10,2.5,130482,Standard,Full HD,1920x1080,Intel,Core,i7,2.9,Nvidia,Quadro M2200M,Quadro,512,SSD,0
Asus,Gaming,17.3,8,Windows 10,3.2,90309,Standard,Full HD,1920x1080,AMD,Ryzen,1600,3.2,AMD,Radeon RX 580,Radeon,256,SSD,0
HP,Notebook,15.6,4,Windows 10,2.1,18488,Standard,Standard,1366x768,Intel,Celeron,N3060,1.6,Intel,HD Graphics 400,HD Graphics,500,HDD,0
Google,Ultrabook,12.3,16,Chrome OS,1.1,117162,Touchscreen,Standard,2400x1600,Intel,Core,i7,1.3,Intel,HD Graphics 615,HD Graphics,512,SSD,0
Lenovo,Ultrabook,24,24,Windows 10,1.32,126912,Standard,Standard,2560x1440,Intel,Core,i7,2.7,Intel,HD Graphics 620,HD Graphics,512,SSD,0
Asus,Notebook,15.6,4,Linux,2,29783,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Dell,Notebook,15.6,4,Windows 10,2.2,39906,Standard,Full HD,1920x1080,Intel,Core,i5,1.6,AMD,Radeon 530,Radeon,256,SSD,0
Lenovo,Ultrabook,12.5,8,Windows 10,1.36,76137,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Lenovo,Notebook,15.6,4,Windows 10,2.2,18594,Standard,Full HD,1920x1080,Intel,Pentium,N4200,1.1,Intel,HD Graphics 505,HD Graphics,128,SSD,0
HP,Gaming,15.6,8,Windows 10,2.2,58554,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,GeForce GTX 1050,GeForce,128,SSD,0
Dell,Notebook,14,8,Windows 10,1.64,62817,Standard,Full HD,1920x1080,Intel,Core,i5,2.8,Nvidia,GeForce 930MX,GeForce,256,SSD,0
Acer,Notebook,15.6,4,Linux,2.4,23539,Standard,Standard,1366x768,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,500,HDD,0
Dell,Workstation,15.6,8,Windows 10,2.23,106187,Standard,Full HD,1920x1080,Intel,Xeon,E3,2.3,Nvidia,Quadro M620,Quadro,64,Flash Storage,0
MSI,Gaming,15.6,8,Windows 10,2.2,54757,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Nvidia,GeForce GTX 1050,GeForce,256,SSD,0
Microsoft,Ultrabook,13.5,16,Windows 10 S,1.25,137941,Touchscreen,Standard,2256x1504,Intel,Core,i7,2.5,Intel,Iris Plus Graphics 640,Iris,512,SSD,0
HP,Notebook,15.6,8,Windows 10,1.91,31381,Standard,Standard,1366x768,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,128,SSD,0
Dell,Workstation,15.6,16,Windows 10,2.17,105228,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.7,Nvidia,Quadro M620,Quadro,256,SSD,0
HP,Workstation,15.6,8,Windows 10,2.31,81731,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.9,Intel,HD Graphics 620,HD Graphics,512,SSD,0
Lenovo,Notebook,14,8,Windows 10,1.65,71661,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Dell,Notebook,15.6,8,Windows 10,2.36,52161,Standard,Full HD,1920x1080,Intel,Core,i7,1.8,AMD,Radeon 530,Radeon,128,SSD,0
Dell,2 in 1 Convertible,11.6,4,Windows 10,1.47,25521,Touchscreen,Standard,1366x768,Intel,Pentium,N3710,1.6,Intel,HD Graphics 405,HD Graphics,500,HDD,0
Microsoft,Ultrabook,13.5,4,Windows 10 S,1.252,52693,Touchscreen,Standard,2256x1504,Intel,Core,m3-7Y30,2.2,Intel,HD Graphics 615,HD Graphics,128,SSD,0
Microsoft,Ultrabook,33.5,8,Windows 10 S,1.25,95850,Touchscreen,Standard,2256x1504,Intel,Core,i7,2.5,Intel,Iris Plus Graphics 640,Iris,256,SSD,0
HP,Notebook,17.3,8,Windows 10,2.5,34093,Standard,Standard,1600x900,Intel,Core,i3,2.3,Intel,HD Graphics 520,HD Graphics,256,SSD,0
Acer,Netbook,11.6,4,Windows 10,1.4,23176,Standard,Standard,1366x768,Intel,Celeron,N3060,1.6,Intel,HD Graphics 400,HD Graphics,128,SSD,0
Lenovo,Notebook,14,8,No OS,1.5,42570,IPS Panel,Full HD,1920x1080,Intel,Core,i7,2.7,AMD,Radeon R7 M460,Radeon,512,SSD,0
Lenovo,Notebook,15.6,8,Windows 10,2.67,111355,Standard,Full HD,1920x1080,Intel,Core,i7,2.9,Nvidia,Quadro M2200M,Quadro,256,SSD,0
Asus,Notebook,15.6,4,Windows 10,2,16197,Standard,Standard,1366x768,Intel,Pentium,N4200,1.1,Intel,HD Graphics 500,HD Graphics,500,HDD,0
Acer,Notebook,15.6,4,Windows 10,2.2,24988,Standard,Standard,1366x768,Intel,Core,i3,2.3,Nvidia,GeForce GTX 940MX,GeForce,500,HDD,0
Lenovo,Ultrabook,14,12,Windows 10,1.4,98994,IPS Panel,Quad HD+,2560x1440,Intel,Core,i7,2.6,Intel,HD Graphics 520,HD Graphics,256,SSD,0
HP,Notebook,15.6,8,Windows 10,1.9,61485,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,AMD,FirePro W4190M,FirePro,500,HDD,0
Google,Ultrabook,12.3,8,Chrome OS,1.1,67932,Touchscreen,Standard,2400x1600,Intel,Core,i5,1.2,Intel,HD Graphics 615,HD Graphics,128,SSD,0
Asus,Notebook,15.6,12,Windows 10,2.06,69210,IPS Panel,4K Ultra HD,3840x2160,Intel,Core,i7,2.6,Intel,HD Graphics 530,HD Graphics,128,SSD,0
Dell,Notebook,14,8,Windows 10,1.79,39427,Standard,Standard,1366x768,Intel,Core,i3,2.3,Intel,HD Graphics 520,HD Graphics,128,SSD,0
Dell,Workstation,?,8,Windows 10,1.78,128298,Standard,Full HD,1920x1080,Intel,Core,i7,2.8,Nvidia,Quadro M1200,Quadro,256,SSD,0
Lenovo,Notebook,14,8,Windows 10,1.7,72673,Standard,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,180,SSD,0
Toshiba,Notebook,13.3,8,Windows 10,1.05,89084,IPS Panel,Full HD,1920x1080,Intel,Core,i5,2.5,Intel,HD Graphics 620,HD Graphics,256,SSD,0
Dell,Notebook,15.6,8,Windows 10,2.16,67239,IPS Panel,Full HD,1920x1080,Intel,Core,i7,1.8,Nvidia,GeForce 940MX,GeForce,512,SSD,0
Chuwi,Notebook,15.6,4,Windows 10,1.89,13261,Standard,Full HD,1920x1080,Intel,Atom,x5-Z8350,1.4,Intel,HD Graphics,HD Graphics,64,Flash Storage,0
